[2021-11-11 17:37:17,424][engineer_data_logger][INFO] - Load data into spark
[2021-11-11 17:37:21,239][engineer_data_logger][INFO] - Do some simple transformations
[2021-11-11 17:37:21,318][engineer_data_logger][INFO] - Find close weather stations to ride stations
[2021-11-11 17:37:21,318][merge_stations_logger][INFO] - Load into pandas
[2021-11-11 17:37:32,230][merge_stations_logger][INFO] - Process 330 ride stations and 917 weather stations
[2021-11-11 17:37:32,232][merge_stations_logger][INFO] - Building KD-Tree
[2021-11-11 17:37:32,233][merge_stations_logger][INFO] - Query points
[2021-11-11 17:37:32,496][engineer_data_logger][INFO] - Cross joining with dates
[2021-11-11 17:37:32,515][engineer_data_logger][INFO] - Join with weather data
[2021-11-11 17:37:32,533][engineer_data_logger][INFO] - Aggregate weather data
[2021-11-11 17:37:32,588][engineer_data_logger][INFO] - Join with ride data
[2021-11-11 17:37:32,618][engineer_data_logger][INFO] - Get per day data
